intptlat,intptlon,NeedScore
+36.8046600,-121.3600180,31.7491082886
+36.5800916,-121.0009504,40.4520784854
+35.7322134,-120.9348713,30.0018197467
+35.6198570,-120.3678150,27.7792536442
+35.5589818,-120.9891147,21.3138355643
+37.1775734,-121.7255630,37.0593865726
+37.0469717,-121.7109545,24.1695808497
+37.1143200,-121.6736702,25.6532903317
+37.0997295,-121.6367134,43.7906149838
+37.1535255,-121.6188759,49.4413623037
+37.1301031,-121.6086139,36.6316190133
+37.1171152,-121.6336266,62.4092648207
+37.1495676,-121.6599829,40.5963142295
+37.1331658,-121.6429002,47.3050975686
+37.1159266,-121.6532810,41.8925751191
+37.1283447,-121.6632327,43.7135577828
+37.0597429,-121.6052909,35.9011713521
+37.0945979,-121.5669408,41.1469047136
+37.0323616,-121.6258020,51.238180323
+37.0245547,-121.5925121,48.2734115645
+37.0230320,-121.5818003,61.9972079172
+37.0048157,-121.5788456,44.6166244655
+36.9878822,-121.5713826,61.2443342233
+36.9775587,-121.5863518,49.1046678717
+37.0180768,-121.5244138,33.9142001697
+37.0017257,-121.5626711,69.5177627626
+37.0198203,-121.5705812,67.3216707289
+37.2480990,-121.5279664,33.7287672226
+36.9224923,-121.7415547,50.2356703893
+36.9272406,-121.7543133,48.540520699
+36.9114533,-121.7551885,72.0865746162
+36.9043848,-121.7704710,67.1539645418
+36.9206806,-121.7708163,67.0039901611
+36.9300262,-121.7696170,37.4447182259
+36.9288679,-121.7840532,36.1460680155
+36.9384650,-121.7937570,51.3296105639
+36.9041000,-121.8169696,25.1396689437
+37.0011010,-121.7979629,29.3931072454
+36.9514486,-121.7451776,70.8302850722
+36.9594832,-121.7817391,48.3102469265
+36.9339389,-121.6753872,60.8626326585
+37.3260075,-121.1936646,74.5270368644
